"Désignation";"Unité";"Quantité";"ids"
"Nbre de Prises DTR";"prise";"0";NULL
"Nbre de Prises RAD";"prise";"142";"220218,73051,73114,73055,73045,73046,73047,73048,73049,73052,73062,73065,73068,73076,73078,73079,73103,73105,73042,73116,73117,73188,73189,73190,73191,73200,73201,73202,73204,73206,73207,73208,73209,73067,73044,73050,73053,73054,73056,73057,73059,73060,73061,73063,73064,73070,73071,73072,73073,73074,73075,73077,73080,73081,73083,73084,73112,73113,73118,73119,73120,73121,73122,73124,73125,73126,73127,73130,73131,73132,73133,73176,73179,73181,73182,73183,73184,73185,73186,73187,73192,73193,73194,73195,73196,73197,73198,73205,73177,73128,73043,73058,73106,73107,73108,73109,73110,73111,73203"
"SRO";"U";"1";"5671"
"GC (sou/aérien) à réaliser";"ml";"6291.76";"235158,237798,237997,237909,237868,237842,237843,237844,237845,237846,237841,237829,237795,235089,235090,235091,235094,235095,235096,237884,237886,237889,235097,235281,237887,237748,237788,237789,237891,237890,237840,237799,237812,237813,237874,237885,235274,237905,235093,235136,235140,235141,235142,235143,235144,235145,235300,235301,235102,235106,235107,235108,235109,235110,235111,235112,235113,235114,235116,235117,235130,235131,235133,235134,235135,235137,235138,235159,235160,235161,235210,235211,235212,235214,235215,235216,235217,235221,235230,235231,235238,235278,235279,235280,235294,235295,235296,235115,237796,237797,237816,237817,237818,237819,237820,237821,237822,237823,237824,237825,237826,237827,237830,237831,237836,237848,237849,237850,237851,237900,237901,237902,237904,237906,237907,237908,237910,237911,237912,237913,237914,237915,237940,237980,237981,237982,237983,237987,237996,237998,237999,238001,238002,238003,238004,238008,238009,238010,238011,238012,238013,238014,238015,238016,238017,238018,237875,237737,235139,235092,235132,235213,237790,237791,237792,237793,237794"
"lineaire infra existant aérien utilisé*";"ml";"14529.60";"237800,235127,235171,235099,235183,235185,235193,235194,237624,237656,237684,237698,237784,237762,237942,237648,237723,235222,237664,237731,237735,237781,237763,237870,237873,237881,237882,237686,237687,237764,237892,237713,237715,237926,237716,237717,237718,237719,237720,237774,235126,237858,235098,235100,237699,237701,237702,237703,237765,237766,237787,237888,237668,237700,235118,237659,237532,237533,237671,237746,237721,237722,237802,237772,237782,237783,235178,235184,235191,237755,235203,235204,237877,237880,237754,237542,237596,237714,237729,237730,235146,235166,235168,235169,235170,237966,237967,237968,237969,237734,239719,239715,235104,235105,235119,235120,235121,235122,235123,235124,235125,235128,235129,235147,235148,235149,235150,235151,235152,235153,235154,235155,235156,235157,235162,235163,235164,235165,235167,235172,235173,235177,235179,235180,235181,235182,235186,235187,235188,235189,235190,235192,235195,235196,235198,235199,235200,235201,235202,235205,235206,235207,235208,235209,235218,235219,235220,235223,235224,235225,235226,235227,235228,235229,235232,235233,235235,235236,235239,235240,235241,235290,235291,235292,235293,235297,237534,237535,237536,237537,237538,237539,237540,237541,237543,237544,237578,237545,237546,237547,237548,237549,237550,237551,237552,237553,237554,237555,237556,237557,237558,237559,237560,237564,237565,237566,237567,237568,237569,237570,237571,237572,237573,237574,237575,237576,237577,237579,237583,237584,235234,237585,237588,237589,237590,237591,237592,237593,237594,237595,237597,237598,237599,237600,237601,237602,237603,237604,237605,237606,237607,237608,237609,237610,237611,235237,237612,237614,237615,237616,237617,237618,237619,237620,237621,237622,237623,237626,237627,237628,237629,237630,237631,237632,237633,237634,237635,237636,237637,237638,237639,237672,237642,237643,237644,237645,237646,237647,237753,237649,237650,237651,237652,237653,237654,237655,237657,237658,237660,237661,237662,237663,237665,237666,237667,237669,237670,237673,237674,237675,237676,237677,237678,237679,237680,237681,237682,237683,237685,237688,237689,237690,237691,237692,237693,237694,237695,237696,237697,237712,237726,237727,237777,237778,237779,237785,237786,237744,237745,237747,237751,237752,237759,237780,237869,237859,237852,237853,237854,237855,237856,237857,237860,237861,237862,237863,237864,237865,237866,237867,237894,237895,237876,237916,237917,237918,237919,237920,237921,237922,237923,237924,237925,237927,237929,237930,237931,237932,237933,237934,237935,237936,237937,237938,237939,237941,237943,237944,237945,237946,237947,237948,237949,237950,237951,237952,237953,237954,237955,237956,237957,237958,237959,237960,237962,237963,237964,237965,237970,237971,237972,237973,237974,237975,237976,237977,237978,237979,237984,237985,237986,237988,237989,237990,237991,237992,237993,237994,237995,238000,238005,238006,238007,239713,239716,239722,239724,239725,267748,267767,237756,237757,237758,237961,237773,235174,235175,235176,237641,237883,237704,237705,237706,237707,237708,237709,237710,237711,237728,237775,237776,237613,235197,237724,237725"
"TRANSPORT - Fourniture du câbe et pose comprises :";NULL;NULL;NULL
"Fourniture et pose de câble de 12 FO en conduite";"ml";"0";NULL
"Fourniture et pose de câble de 24 FO en conduite";"ml";"0";NULL
"Fourniture et pose de câble de 36 FO en conduite";"ml";"0";NULL
"Fourniture et pose de câble de 48 FO en conduite";"ml";"0";NULL
